Best of each number of molecules:
# Mol 	 Config 	 Horiz. Adj. 	 Vert. Adj. 	 Score
----------------------------------------------------------------
1	100000000000000000	0	0	0.0
2	100000000000100000	0	1	1.0
3	100000100000100000	0	3	3.0
4	100010100000100000	0	3	3.0
5	100010100010100000	0	4	4.0
6	100010100010100010	0	6	6.0
7	100010100010101010	0	6	6.0
8	101010100010101010	0	7	7.0
9	101010101010101010	0	9	9.0
10	101011101010101010	2	9	29.0
11	101011111010101010	4	9	49.0
12	101011111010101110	6	9	69.0
13	101011111011101110	8	10	90.0
14	101011111011111110	10	11	111.0
15	101111111011111110	12	12	132.0
16	101111111011111111	14	14	154.0
17	111111111011111111	16	16	176.0
18	111111111111111111	18	18	198.0
